postalcode;street;lat;lng;price;area;volume;floors;year_build;has_garden;type;photos;rooms
1053 DD Amsterdam;Kinkerstraat 43 II-voor;523.677;4.874.251;199000;30;90;5;1886;0;appartement;27;2
1058 KJ Amsterdam;Haarlemmermeerstraat 146 I;5.235.246;4.850.154;325000;55;180;1;1930;0;appartement;15;3
1060 PJ Amsterdam;Ladogameerhof 84;5.235.085;4.781.172;249000;83;225;4;1999;0;appartement;13;3
1025 WB Amsterdam;Buiksloterdijk 146;5.239.576;4.923.662;1200000;182;627;3;1892;1;woonhuis;66;6
1024 EZ Amsterdam;Grootslagstraat 29;5.239.875;4.956.203;300000;90;257;1;2008;0;woonhuis;1;4
1066 GE Amsterdam;Duke Ellingtonstraat 50;5.234.383;4.826.892;260000;80;244;1;1991;0;appartement;25;3
1066 KG Amsterdam;Diepenbeekplantsoen 67;5.234.792;4.818.872;359000;135;365;3;1991;1;woonhuis;26;6
1061 BV Amsterdam;Blauwvoetstraat 16 III;5.237.669;4.839.492;201500;51;140;1;1952;0;appartement;18;3
1075 BH Amsterdam;Valeriusplein 14 A;5.235.234;4.863.517;1450000;138;491;2;1906;1;appartement;38;5
1025 CW Amsterdam;Dijkwater 239;5.240.113;493.649;199000;66;207;1;1980;0;appartement;25;2
1068 MK Amsterdam;Osdorper Ban 90 A8;5.236.201;479.874;199500;78;235;1;2003;0;appartement;14;2
1072 HM Amsterdam;Dusartstraat 25 hs;5.235.205;4.889.477;385000;63;266;1;1991;0;appartement;20;2
1016 AD Amsterdam;Singel 286 D;5.237.199;4.888.037;539000;91;276;3;1906;1;appartement;31;3
1033 LB Amsterdam;Mandarijnenstraat 47;5.240.961;4.898.251;240000;70;255;2;1952;1;woonhuis;29;3
1011 KB Amsterdam;Kloveniersburgwal 93 -C;523.692;4.897.463;650000;111;285;2;1825;0;appartement;26;3
1054 ES Amsterdam;Stadhouderskade 21 D;5.236.203;4.880.659;895000;142;464;2;1991;0;appartement;40;3
1102 ZR Amsterdam;Dantestraat 160;5.232.569;4.949.328;96000;34;106;1;1984;0;appartement;15;1
1087 BC Amsterdam;Johan van der Keukenstraat 113;5.236.003;4.990.108;495000;148;543;3;2001;1;woonhuis;39;6
1013 BH Amsterdam;Westerdok 362;5.238.473;4.891.713;1050000;147;540;3;2008;0;appartement;45;5
1011 MR Amsterdam;Koerierstersplein 6;523.693;4.907.488;339500;67;206;1;1998;0;appartement;15;3
1095 MS Amsterdam;Zeeburger Zilt 2 (Bouwnr. 104);5.237.195;4.965.528;366963;92;230;1;2011;0;appartement;7;3
1015 XD Amsterdam;Westerkade 10 1 l;5.237.621;4.877.959;170000;22;50;5;1930;0;appartement;16;1
1064 EE Amsterdam;Burgemeester Hogguerstraat 969;5.237.345;4.828.092;189000;0;0;1;0;0;onbekend;1;1
1075 EW Amsterdam;Valeriusstraat 177 II;5.235.203;4.861.193;495000;60;222;1;1906;0;appartement;23;2
1051 KP Amsterdam;Haarlemmerweg 43 3;523.854;4.877.528;339000;77;249;2;1886;0;appartement;22;3
1011 BW Amsterdam;Kromme Waal 35 -2;5.237.384;490.276;600000;96;260;1;1906;0;appartement;39;3
1019 HR Amsterdam;Zeeburgerkade 524;5.236.922;4.944.012;420000;112;419;2;1898;0;appartement;44;4
1013 PL Amsterdam;Van Linschotenstraat 45;5.238.922;4.887.444;175000;37;120;4;1905;0;appartement;18;2
1074 JH Amsterdam;Amsteldijk 728 A;5.235.186;4.909.115;1400000;220;900;2;2011;1;woonhuis;40;5
1063 LK Amsterdam;Willem Molengraaffstraat 18 1;5.238.394;4.813.375;175000;62;205;1;1955;0;appartement;26;3
1011 NX Amsterdam;Waterlooplein 29 A+D;5.236.891;4.901.343;1195000;225;692;2;1997;0;appartement;30;6
1053 WX Amsterdam;Da Costakade 175 2A;5.236.744;4.874.265;215000;28;68;1;2011;0;appartement;19;2
1094 GB Amsterdam;Celebesstraat 142;5.235.836;4.936.631;325000;77;228;1;1998;0;appartement;15;3
1017 RL Amsterdam;Lijnbaansgracht 270 B;5.236.229;4.885.927;335000;50;163;1;1892;0;appartement;19;2
1103 SK Amsterdam;Glitterstraat 104;5.232.187;4.979.258;179500;79;248;1;2007;0;appartement;17;3
1035 NX Amsterdam;Hendrik Soeteboomstraat 12;5.241.779;4.896.294;550000;118;391;2;1930;1;woonhuis;30;4
1017 NM Amsterdam;Lange Leidsedwarsstraat 60 A;5.236.489;4.883.069;239000;46;120;1;1978;0;appartement;18;2
1022 KK Amsterdam;H. Stolleplantsoen 4;5.240.815;4.933.568;499000;180;636;4;2009;1;woonhuis;32;6
1073 AT Amsterdam;Stadhouderskade 83 B;5.235.777;4.893.291;355000;62;230;1;1906;0;appartement;16;3
1053 HB Amsterdam;Jacob van Lennepstraat 31 -III-A;5.236.667;4.875.056;225000;34;103;1;1906;0;appartement;13;2
1055 ZT Amsterdam;Solebaystraat 82 -I;5.238.423;4.854.642;200000;50;161;1;1934;0;appartement;23;3
1097 WL Amsterdam;Veeteeltstraat 9 a;5.234.184;4.948.482;249009;62;174;1;1925;1;appartement;27;3
1107 RC Amsterdam;Tielstraat 113;5.229.197;4.969.096;171000;0;0;1;0;0;onbekend;1;1
1055 RZ Amsterdam;Nieuwpoortstraat 94 C12;5.238.431;4.857.045;245000;49;173;1;2017;1;appartement;20;2
1016 AE Amsterdam;Singel 326 -328;5.237.082;4.887.798;2150000;276;833;2;1906;0;appartement;35;5
1071 KL Amsterdam;Jacob Obrechtstraat 14 I;523.567;487.469;795000;111;301;2;1898;1;appartement;34;3
1092 CB Amsterdam;Eikenweg 72 III;5.235.715;4.922.067;175000;31;105;1;1906;0;appartement;14;2
1035 PW Amsterdam;Landsmeerderdijk 14;5.241.582;489.858;899000;173;527;2;1915;1;woonhuis;38;6
1024 EW Amsterdam;Waalenburgsingel 280;5.239.545;496.016;175000;75;197;1;1960;0;appartement;22;3
1018 XE Amsterdam;Valckenierstraat 43 III;5.236.227;4.910.474;325000;58;181;1;1906;0;appartement;29;2
1086 ZJ Amsterdam;IJburglaan 161;5.236.308;4.981.378;310000;91;235;1;2008;0;appartement;29;2
1016 SG Amsterdam;Elandsstraat 28;5.237.075;488.134;650000;125;434;1;1906;0;appartement;22;3
1067 MX Amsterdam;Troelstralaan 255 B;5.237.362;4.800.999;189000;45;120;4;2016;0;appartement;20;3
1102 JD Amsterdam;Huntum 56 D;5.230.713;4.963.279;450000;0;0;1;0;0;onbekend;1;1
1058 EC Amsterdam;Nachtwachtlaan 108;5.236.104;4.843.311;350000;98;250;1;1968;0;appartement;14;3
1028 AZ Amsterdam;Poppendammergouw 32;5.241.963;5.024.254;1975000;374;1048;2;1910;1;woonhuis;57;7
1011 CP Amsterdam;Nieuwe Ridderstraat 8 *;5.237.351;4.901.854;815000;130;351;3;1906;0;appartement;10;4
1067 PV Amsterdam;De Savornin Lohmanstraat 571;5.237.542;4.798;200000;47;160;1;2011;1;appartement;29;1
1019 PG Amsterdam;Bogortuin 72 Javakd;5.237.751;4.933.223;535000;103;328;1;2001;0;appartement;24;3
1033 BH Amsterdam;Kometensingel 299;5.241.571;4.881.989;300000;113;425;2;1923;1;woonhuis;36;5
1072 VZ Amsterdam;Daniël Stalpertstraat 19 2 hg;5.235.644;488.793;275000;43;137;5;1906;0;appartement;14;2
1056 PM Amsterdam;Orteliusstraat 278 IV;5.237.234;4.848.195;285000;48;154;4;1931;1;appartement;23;2
1087 EM Amsterdam;IJburglaan 828;5.235.539;4.994.277;335000;96;291;1;2003;0;appartement;25;3
1096 AK Amsterdam;State Amsterdam;5.233.953;4.926.469;3049915;488;1269;1;2019;0;appartement;7;7
1055 NR Amsterdam;Gibraltarstraat 60 HS;5.238.384;4.850.696;250000;71;185;4;1936;1;appartement;25;3
1035 LB Amsterdam;Sandwijk 20;5.242.127;4.896.449;339011;116;318;3;1994;1;woonhuis;31;4
1093 EE Amsterdam;Linnaeusstraat 33 A;5.236.224;4.924.304;335000;76;240;1;1985;0;appartement;22;3
1053 KB Amsterdam;Jacob van Lennepstraat 250 a;5.236.399;4.864.032;469000;73;200;1;1905;0;appartement;19;3
1060 NT Amsterdam;Brenner 51 .;5.235.135;4.774.473;400000;0;0;1;0;0;onbekend;1;1
1066 Amsterdam;Duke Ellingtonstraat;5.235.026;4.829.307;17500;0;0;1;0;0;parkeergelegenheid;1;1
1081 ER Amsterdam;Bolestein 772;5.232.422;4.859.325;350000;91;288;1;1968;0;appartement;22;3
1035 XD Amsterdam;Stentorstraat 77 hs;5.241.951;4.900.259;210011;66;220;2;1955;1;appartement;25;3
1051 VB Amsterdam;Van der Hoopstraat 43 II;5.238.435;4.874;375000;75;252;1;1906;0;appartement;19;3
1095 DK Amsterdam;Insulindeweg 792;52.362;4.944.143;200000;56;167;1;1988;0;appartement;30;2
1019 RM Amsterdam;Sumatrakade 1319;523.796;492.511;32500;0;0;1;0;0;parkeergelegenheid;5;1
1071 XN Amsterdam;Hobbemakade 78 HS;5.235.301;4.886.034;350000;54;263;1;1905;1;appartement;25;2
1056 RL Amsterdam;Shackletonstraat 3 III;5.237.272;4.852.387;260000;72;229;1;1926;0;appartement;16;3
1055 RZ Amsterdam;Nieuwpoortstraat 94 A14;5.238.425;4.856.787;240000;48;170;1;2017;1;appartement;20;2
1055 NR Amsterdam;Gibraltarstraat 66 HS;5.238.413;4.850.017;325000;77;220;1;1936;1;appartement;22;3
1098 JK Amsterdam;Archimedesweg 17 hs;523.569;4.937.632;799000;181;574;2;1901;1;appartement;26;7
1094 GR Amsterdam;Madurastraat 70 II;5.236.422;4.934.501;250000;50;166;1;1906;0;appartement;20;2
1032 CC Amsterdam;Hazelaarstraat 59;5.239.513;4.916.746;235000;55;200;2;1931;1;woonhuis;27;3
1075 HV Amsterdam;Emmastraat 24;5.235.348;4.869.176;3250000;349;1347;5;1906;1;woonhuis;59;8
1028 AX Amsterdam;Nieuwe Gouw;5.239.968;4.982.696;650000;0;0;1;0;0;object;1;1
1019 PW Amsterdam;Majanggracht 17;523.783;493.015;898000;210;550;5;2000;1;woonhuis;11;8
1068 GL Amsterdam;Martini van Geffenstraat 130;5.235.785;4.803.331;299000;130;335;2;2002;0;appartement;15;4
1056 KN Amsterdam;Geuzenkade 56 III;5.237.344;4.864.376;245000;52;173;1;1934;0;appartement;19;3
1091 TM Amsterdam;Overamstelstraat 125;5.235.065;4.913.874;275000;55;162;1;1993;0;appartement;46;3
1056 PW Amsterdam;Mercatorstraat 5 hs;5.237.062;4.850.856;450000;86;273;1;1926;1;appartement;26;3
1079 JP Amsterdam;Vechtstraat 122 -II;5.234.319;4.907.233;300000;51;136;1;1934;0;appartement;13;3
1069 GA Amsterdam;Osdorper Ban 577;5.236.055;4.794.693;250000;92;270;1;2006;0;appartement;23;3
1072 HV Amsterdam;Dusartstraat 62 hs;523.508;4.888.745;945000;147;309;2;1906;1;appartement;35;6
1016 HR Amsterdam;Prinsengracht 495 II;5.236.939;4.883.013;975000;175;610;1;1880;0;appartement;25;5
1063 ER Amsterdam;Coronelstraat 21;5.238.419;4.830.219;299000;85;265;2;1954;1;woonhuis;20;4
1061 BV Amsterdam;Blauwvoetstraat 12 hs;5.237.655;4.839.449;317500;79;213;2;1952;1;appartement;12;5
1063 NV Amsterdam;Burgemeester Van Leeuwenlaan 156;5.238.159;4.813.935;299000;103;303;3;1954;1;woonhuis;26;4
1067 XW Amsterdam;Burgemeester Röellstraat 606;5.237.737;4.804.601;215000;89;225;1;2004;0;appartement;26;3
1013 AK Amsterdam;Bouwnummer 114 (Bouwnr. 114);5.239.695;4.881.737;759000;168;681;4;2019;1;woonhuis;1;4
1025 AL Amsterdam;Elpermeer 132;5.240.169;494.918;30000;0;0;1;0;0;parkeergelegenheid;3;1
1055 CE Amsterdam;Esmoreitstraat 20 3;5.237.721;4.851.968;245000;55;180;2;1931;0;appartement;22;6
1015 XD Amsterdam;Westerkade 11 -C;5.237.613;4.877.899;185500;25;77;1;1906;0;appartement;9;2
1102 ST Amsterdam;Anna Blamansingel 64;5.231.624;4.946.488;245000;102;286;1;2006;0;appartement;24;3
1054 VM Amsterdam;Staringstraat 5 L;5.236.213;4.862.439;375000;71;174;1;1990;0;appartement;25;3
1096 GJ Amsterdam;Welnastraat 321;5.233.883;4.920.624;159511;28;96;1;2015;0;appartement;24;1
1058 EM Amsterdam;Nachtwachtlaan 343;5.236.295;484.399;315000;98;250;1;1968;0;appartement;16;3
1087 AW Amsterdam;Johan van der Keukenstraat;5.235.964;4.991.691;14000;0;0;1;0;0;parkeergelegenheid;4;1
1053 ED Amsterdam;Kinkerstraat 112 1;5.236.684;4.870.297;199000;30;97;1;1906;0;appartement;15;2
1066 ER Amsterdam;Akersluis 11;5.234.259;4.792.469;589000;0;0;1;0;0;onbekend;1;1
1102 AC Amsterdam;Bijlmerdreef 538;5.231.745;4.956.918;250000;94;270;1;2007;0;appartement;29;3
1060 RX Amsterdam;Valutaboulevard 55;5.234.797;4.789.653;450000;167;500;4;1998;1;woonhuis;24;5
1060 RX Amsterdam;Valutaboulevard 14;5.234.815;4.787.782;375000;141;409;4;1999;1;woonhuis;19;5
1058 TP Amsterdam;Westlandgracht 83 -2;52.353;4.846.152;269500;55;181;1;1934;0;appartement;19;3
1081 KS Amsterdam;Schokkerspad 36;5.233.106;4.855.767;1350000;192;564;6;1991;0;appartement;33;5
1058 ST Amsterdam;Vogelenzangstraat 24 hs;5.235.443;4.848.292;325000;46;176;3;1931;1;appartement;29;3
1054 JZ Amsterdam;Overtoom 480 I;5.235.933;4.860.757;549000;93;307;5;1906;0;appartement;34;3
1061 TJ Amsterdam;Willy Sluiterstraat 104;5.236.528;484.172;360000;90;283;6;2013;0;appartement;23;4
1013 SJ Amsterdam;Wormerveerstraat 7 -HS R;5.238.897;487.687;225000;38;135;1;1916;1;appartement;25;2
1071 CC Amsterdam;Pieter Cornelisz. Hooftstraat 90 II;523.602;4.880.108;895000;105;401;2;1906;0;appartement;26;2
1013 AK Amsterdam;Bouwnummer 116 (Bouwnr. 116);5.239.695;4.881.737;1107250;219;953;3;2019;1;woonhuis;2;3
1079 BN Amsterdam;Uiterwaardenstraat 9 -III;5.234.213;4.911.394;369000;56;177;1;1934;1;appartement;28;3
1053 SV Amsterdam;Jan Hanzenstraat 108 /III;5.236.775;4.864.326;185000;30;93;3;1906;0;appartement;22;1
1031 KB Amsterdam;Spadinalaan 64;5.238.641;4.900.607;519500;87;295;1;2010;0;appartement;16;2
1071 VN Amsterdam;Cornelis Anthoniszstraat 11 II;5.235.349;4.883.309;395000;53;175;1;1899;0;appartement;21;3
1107 VE Amsterdam;Snodenhoekpark 2;5.229.095;4.974.075;235000;104;337;2;1981;1;woonhuis;23;4
1012 RN Amsterdam;Wijdesteeg 3 K;5.237.153;4.889.751;604840;77;250;4;1906;0;appartement;25;2
1019 TB Amsterdam;J.F. van Hengelstraat 37;523.744;494.739;475000;101;318;2;1998;1;appartement;36;4
1013 LM Amsterdam;Prinseneiland 93 *;5.238.535;4.886.653;2850000;660;2000;5;1906;0;woonhuis;40;14
1051 GJ Amsterdam;Bentinckstraat 97 2;5.238.304;4.871.274;225000;38;128;1;1906;0;appartement;26;2
1013 PD Amsterdam;Dirk Hartoghstraat 83;5.238.951;4.885.681;225000;47;151;5;1879;0;appartement;24;2
1071 LD Amsterdam;Palestrinastraat 15 BOVEN;5.235.619;4.876.546;1100000;164;575;2;1906;1;appartement;41;4
1051 TZ Amsterdam;Joan Melchior Kemperstraat 138 -3;523.848;4.870.602;500000;106;300;2;1906;0;appartement;25;4
1074 EJ Amsterdam;Kuipersstraat 81;5.235.354;4.903.076;625000;97;358;1;1936;1;appartement;14;3
1078 AC Amsterdam;Amstelkade 19 I;5.234.904;4.906.286;350000;63;168;1;1922;0;appartement;32;3
1087 EN Amsterdam;IJburglaan 991;5.235.606;4.994.267;325000;95;330;1;2007;0;appartement;29;5
1018 TT Amsterdam;Plantage Muidergracht 151 hs;5.236.385;4.917.235;1450000;202;600;2;1890;1;appartement;20;6
1018 AV Amsterdam;Sarphatistraat 562;5.236.433;4.920.773;545000;78;283;1;1906;1;appartement;13;3
1059 AB Amsterdam;Aalsmeerweg 29 -hs;5.235.009;4.849.695;895000;150;487;1;1928;1;appartement;37;5
1066 SL Amsterdam;Berlaarstraat 64;523.455;480.184;315000;100;300;2;1994;1;woonhuis;27;4
1024 AK Amsterdam;Jisperveldstraat 183;5.239.838;4.949.818;35000;0;0;1;0;0;parkeergelegenheid;7;1
1102 XH Amsterdam;Charlotte Brontéstraat 138;5.232.488;4.947.121;175000;73;232;1;1983;0;appartement;17;3
1019 LG Amsterdam;KNSM-laan 461;5.237.737;4.941.651;500000;101;305;1;1996;0;appartement;44;4
1017 JH Amsterdam;Prinsengracht 1099 hs;5.236.263;4.900.472;2180000;238;742;3;1688;1;appartement;48;6
1066 NV Amsterdam;Turnhoutplantsoen 60;5.234.763;4.808.206;339000;113;328;3;1992;1;woonhuis;24;5
1094 GC Amsterdam;Madurastraat 5 -C;5.236.423;4.931.785;250000;54;150;5;1985;0;appartement;16;3
1066 DJ Amsterdam;Ringvaartdijk 94;5.233.334;4.802.711;579000;0;0;1;0;0;onbekend;1;1
1025 CW Amsterdam;Dijkwater 207;5.240.099;4.936.862;189000;0;0;1;0;0;onbekend;1;1
1097 PS Amsterdam;Fahrenheitstraat 40;5.234.308;4.924.283;700000;152;529;3;1905;1;woonhuis;29;8
1094 EM Amsterdam;Celebesstraat 33 I;5.236.396;4.931.608;275000;61;213;5;1906;0;appartement;17;2
1087 GZ Amsterdam;Sanne Sanneshof 4;5.235.611;4.997.263;279000;76;197;1;2004;0;appartement;17;3
1072 RA Amsterdam;Avercampstraat 29;5.235.038;4.893.105;290000;43;115;5;1986;0;appartement;10;2
1079 LL Amsterdam;Amsteldijk 280;523.342;490.178;2000000;400;1200;1;2017;1;woonhuis;11;8
1052 XX Amsterdam;Frederik Hendrikplantsoen 86 -3;5.237.952;487.516;850000;182;640;2;1906;0;appartement;34;8
1011 CP Amsterdam;Nieuwe Ridderstraat 12;5.237.341;4.902.033;750000;121;327;3;1906;0;woonhuis;10;4
1055 BA Amsterdam;Lanseloetstraat 3 -I;5.237.639;4.849.978;225000;56;190;1;1931;0;appartement;29;3
1097 ZK Amsterdam;Onderlangs 28;5.233.937;4.947.465;235000;52;156;1;1906;1;appartement;27;3
1017 JZ Amsterdam;Prinsengracht 763;5.236.346;4.887.354;2550000;172;516;1;1960;0;appartement;14;3
1077 VD Amsterdam;Holbeinstraat 2 2;5.234.649;4.875.186;1395000;210;681;3;1932;0;appartement;37;5
1018 NX Amsterdam;Czaar Peterstraat 37 E;5.236.878;4.927.054;175000;29;75;4;1971;0;appartement;23;1
1063 ZK Amsterdam;Lex Althoffstraat 3 3;5.237.952;4.830.055;199000;62;216;5;1953;0;appartement;18;2
1033 ZT Amsterdam;Mandenmakerspad 1;5.241.868;4.884.088;300000;98;324;3;1989;1;woonhuis;23;4
1012 ZK Amsterdam;Blaeustraat 7;5.237.443;4.891.987;350000;56;136;1;1990;1;appartement;17;2
1069 TS Amsterdam;Langswater 180;5.235.459;4.790.407;149500;60;167;13;1965;0;appartement;10;3
1011 MJ Amsterdam;Valkenburgerstraat;5.236.891;4.905.781;50000;0;0;1;0;0;parkeergelegenheid;6;1
1069 EC Amsterdam;Langswater 379;5.235.549;4.790.136;175000;72;238;1;1969;0;appartement;23;3
1018 BH Amsterdam;Hoogte Kadijk 127 C;5.236.847;4.918.101;295000;55;171;1;1905;0;appartement;22;2
1013 NE Amsterdam;Westzaanstraat 67 B;5.238.806;4.881.464;285000;69;220;1;1982;0;appartement;20;3
1076 CK Amsterdam;Stadionplein 89 HS;523.428;4.857.975;650000;157;554;4;1931;0;appartement;29;4
1093 HL Amsterdam;Reinwardtstraat 64;5.236.057;4.926.083;300000;70;230;1;1987;0;appartement;15;3
1063 GM Amsterdam;Jacob Melkmanstraat 6;5.238.228;4.824.099;268800;100;300;1;1945;1;woonhuis;25;4
1015 JP Amsterdam;Goudsbloemstraat 32;5.238.098;4.885.657;985000;205;645;5;1906;0;woonhuis;31;6
1058 LL Amsterdam;Bennebroekstraat 8 hs;5.235.295;4.849;650000;110;336;2;1906;1;appartement;33;4
1060 TV Amsterdam;Pieter Calandlaan 514;523.495;478.597;249000;96;300;1;1998;0;appartement;21;4
1018 CT Amsterdam;Henri Polaklaan 40 C*;5.236.728;491.192;2350000;372;800;5;1914;1;appartement;22;10
1012 BG Amsterdam;Molensteeg 16 B+C;523.735;4.899.944;598000;116;357;3;1906;0;appartement;36;5
1060 ST Amsterdam;Escudolaan 50;5.234.492;4.785.702;499000;168;605;4;1998;1;woonhuis;36;5
1023 AJ Amsterdam;Schermerstraat 40;5.239.288;4.943.728;230000;54;235;2;1927;1;woonhuis;29;3
1077 CK Amsterdam;Olympiaplein 23 hs;523.491;4.867.568;1250000;178;458;2;1928;1;appartement;32;6
1086 ZJ Amsterdam;IJburglaan 409;5.236.251;4.983.274;699000;156;420;3;2010;1;woonhuis;41;5
1102 TH Amsterdam;Boeninlaan 71;5.232.053;4.942.828;107000;37;109;1;1984;0;appartement;8;2
1046 Amsterdam;Limmerick Garagebox/Opslag;5.239.211;478.938;16250;0;0;1;0;0;parkeergelegenheid;7;1
1071 MD Amsterdam;Valeriusstraat 41 2;5.235.465;4.871.027;899000;143;522;2;1906;0;appartement;33;7
1058 CE Amsterdam;Van Walbeeckstraat 5 -hs;52.36;4.850.805;335000;73;204;1;1906;1;appartement;18;2
1015 PK Amsterdam;Tuinstraat 226;5.237.656;4.879.762;975000;126;400;4;1906;1;woonhuis;23;5
1096 AK Amsterdam;State Amsterdam;5.233.953;4.926.469;340816;64;166;1;2019;0;appartement;6;2
1016 AA Amsterdam;Singel 204 F;5.237.402;488.866;350000;47;150;1;1925;0;appartement;11;1
1055 RZ Amsterdam;Nieuwpoortstraat 86 A8;5.238.429;48.583;410000;83;294;1;2017;0;appartement;20;2
1053 GD Amsterdam;Kinkerstraat 332 II;52.365;4.862.887;200000;28;91;1;1899;0;appartement;23;2
1097 HM Amsterdam;Bertrand Russellstraat 110;523.478;492.149;395000;104;323;2;1991;0;appartement;19;4
1095 CH Amsterdam;Javaplein 5 II;5.236.393;4.939.863;225000;46;158;1;1915;0;appartement;13;2
1011 AJ Amsterdam;Prins Hendrikkade 105 -huis;5.237.546;4.902.857;1195000;219;927;2;1630;1;appartement;26;6
1056 GM Amsterdam;Admiraal De Ruijterweg 66 -1;5.237.143;4.860.993;350000;76;225;1;1906;0;appartement;16;3
1016 CK Amsterdam;Leidsegracht 2;5.236.758;4.886.193;1600000;183;500;5;1906;0;woonhuis;46;6
1011 CP Amsterdam;Nieuwe Ridderstraat 10;5.237.347;4.901.947;885000;141;381;3;1906;0;woonhuis;12;4
1055 BN Amsterdam;Sanderijnstraat 29 hs;523.773;485.042;295000;68;253;4;1931;0;appartement;21;3
1021 NG Amsterdam;Smederij 44;5.238.181;4.914.685;175000;42;135;1;1984;0;appartement;35;2
1051 JJ Amsterdam;Schaepmanstraat 244 -1;5.237.978;4.868.854;215000;38;126;1;1906;0;appartement;12;2
1087 LC Amsterdam;Johan Huijsenstraat 34;5.235.068;5.008.421;285000;82;261;1;2001;0;appartement;20;3
1011 TC Amsterdam;Prins Hendrikkade 172 H;5.237.178;4.909.758;850000;147;521;1;1906;0;appartement;22;4
1013 BX Amsterdam;Westerdoksdijk 645;5.238.641;4.892.559;1200000;145;450;1;2009;0;appartement;29;4
1091 Amsterdam;Marcusstraat;5.236.126;4.915.127;5000;0;0;1;0;0;parkeergelegenheid;7;1
1095 DW Amsterdam;Th. K. van Lohuizenlaan 232;5.236.642;4.946.521;325000;76;195;1;2004;0;appartement;26;3
1103 JT Amsterdam;Bijlmerdreef 1022;5.232.144;4.968.866;184000;114;295;2;2006;0;appartement;19;4
1060 RG Amsterdam;Ladogameerhof 310;5.234.942;4.784.233;265000;90;335;1;2003;1;appartement;24;3
1051 JC Amsterdam;Schaepmanstraat 3 I;5.237.958;4.870.901;239000;57;187;1;1937;0;appartement;22;3
1058 GX Amsterdam;Antillenstraat 19 1;5.235.929;485.101;330000;64;190;1;1930;0;appartement;21;2
1052 AA Amsterdam;De Wittenkade 17 2a;5.238.478;4.880.179;175000;34;90;3;1900;0;appartement;12;2
1087 EK Amsterdam;Maria Austriastraat 83;5.235.649;4.995.921;265000;79;235;1;2008;0;appartement;25;2
1091 PW Amsterdam;Afrikanerplein 76;523.525;4.916.482;300000;68;225;1;1930;1;appartement;28;3
1082 EC Amsterdam;Kastelenstraat 137 I;5.232.582;4.877.244;319000;84;278;1;1960;0;appartement;26;4
1012 BS Amsterdam;Bloedstraat 17 B;5.237.292;48.994;265000;44;141;1;2006;0;appartement;28;2
1056 PC Amsterdam;Orteliusstraat 351 2;5.237.431;4.846.749;589000;112;353;2;1931;0;appartement;43;5
1058 Amsterdam;Saskia van Uijlenburgkade;5.235.634;4.845.816;42500;0;0;1;0;0;parkeergelegenheid;4;1
1083 GR Amsterdam;Arent Janszoon Ernststraat 97;5.233.184;4.888.377;390000;111;320;1;1968;0;appartement;18;3
1057 SC Amsterdam;Hudsonstraat 107 II;5.236.795;4.852.931;250000;49;170;1;1924;0;appartement;28;2
1058 KB Amsterdam;Haarlemmermeerstraat 52 III;5.235.638;4.850.118;499000;82;264;2;1932;1;appartement;23;4
1073 VR Amsterdam;Nicolaas Berchemstraat 10 -E;5.235.707;4.898.507;500000;92;298;2;1991;0;appartement;23;4
1094 HN Amsterdam;Javastraat 106;5.236.362;4.936.756;215000;0;0;1;0;0;onbekend;1;1
1013 TC Amsterdam;Spaarndammerstraat 95 I;5.239.013;4.878.592;230000;45;117;1;1932;0;appartement;23;2
1074 CT Amsterdam;Tweede Jan Steenstraat 106 IV;5.235.696;4.903.664;450000;74;220;2;1906;0;appartement;23;4
1018 RX Amsterdam;Blankenstraat 167 -1;5.237.082;4.931.277;190000;32;107;1;1905;0;appartement;17;2
1018 LP Amsterdam;Kleine Wittenburgerstraat;5.237.194;4.921.604;30000;0;0;1;0;0;parkeergelegenheid;10;1
1097 XJ Amsterdam;Weidestraat 2;5.234.158;494.587;375000;74;227;3;1924;1;appartement;24;3
1056 KV Amsterdam;Korte Geuzenstraat 412;5.237.092;4.864.931;175000;31;85;1;1942;0;appartement;16;2
1068 ZV Amsterdam;Landzicht 35;5.236.485;4.803.638;300000;125;420;2;2001;0;appartement;36;4
1104 ML Amsterdam;Kloekhorststraat 93;5.231.732;4.969.084;165000;71;245;1;1984;1;appartement;21;3
1064 HB Amsterdam;Slotermeerlaan 22 B;5.237.212;4.819.567;349000;140;366;3;2000;0;appartement;28;5
1067 MT Amsterdam;Jan van Duivenvoordestraat 13;5.237.851;4.802.636;239000;92;250;8;2002;0;appartement;31;3
1072 SW Amsterdam;Van Ostadestraat 137 hs;5.235.256;4.894.171;795000;128;329;2;1906;0;appartement;26;4
1095 KG Amsterdam;Bouwnummer (Bouwnr. 64);523.695;4.963.923;599900;183;475;6;2016;0;appartement;6;4
1055 CB Amsterdam;Esmoreitstraat 43 III;5.237.793;4.851.182;250000;57;171;1;1931;0;appartement;25;3
1012 VG Amsterdam;Singel 93 hs;5.237.604;4.891.516;1250000;253;837;2;1899;0;appartement;24;5
1079 VR Amsterdam;Hunzestraat 19 II;5.234.451;4.905.061;575000;120;398;3;1931;0;appartement;25;4
1013 HE Amsterdam;Brouwersgracht 256 BG;5.238.256;4.885.333;230000;37;108;1;1906;0;appartement;14;1
1058 DE Amsterdam;Postjeskade 13 -I;5.236.376;4.856.312;265000;48;126;1;1927;0;appartement;10;3
1055 AR Amsterdam;Griseldestraat 15 I;5.237.646;4.848.848;259000;51;165;1;1939;1;appartement;16;3
