timeline housing price Amsterdam
Subject;Price index existing owner-occupied homes|Price index selling prices;Price index existing owner-occupied homes|Price index selling prices;Price index existing owner-occupied homes|Development compared to a year earlier;Price index existing owner-occupied homes|Development compared to a year earlier;Sold existing owner-occupied homes|Sold homes;Sold existing owner-occupied homes|Sold homes;Sold existing owner-occupied homes|Development compared to previous period;Sold existing owner-occupied homes|Development compared to previous period;Sold existing owner-occupied homes|Development compared to a year earlier;Sold existing owner-occupied homes|Development compared to a year earlier;Average selling price;Average selling price
2012 3rd quarter;100,7;90,0;-8,6;-7,5;22978;1648;-33,6;-12,5;-25,3;-13,4;215795;257831
2012 4th quarter;100,1;88,6;-7,6;-6,4;35704;2116;55,4;28,4;11,3;-1,4;219746;258964
2013 1st quarter;97,8;85,9;-8,6;-9,4;23090;1547;-35,3;-26,9;-3,6;-0,7;213240;258131
2013 2nd quarter;95,8;87,4;-8,7;-5,5;22111;1373;-4,2;-11,2;-36,1;-27,1;210908;252982
2013 3rd quarter;96,1;87,1;-4,6;-3,3;28925;1882;30,8;37,1;25,9;14,2;214778;254315
2013 4th quarter;95,8;86,3;-4,3;-2,6;35968;2174;24,3;15,5;0,7;2,7;213784;258837
2014 1st quarter;96,3;88,1;-1,5;2,6;28963;2020;-19,5;-7,1;25,4;30,6;215689;260575
2014 2nd quarter;96,9;90,5;1,2;3,5;34074;2500;17,6;23,8;54,1;82,1;220670;271018
2014 3rd quarter;97,8;92,5;1,8;6,2;39160;2947;14,9;17,9;35,4;56,6;225194;279518
2014 4th quarter;97,9;93,4;2,2;8,3;51314;3818;31,0;29,6;42,7;75,6;224660;274178
2015 1st quarter;98,6;96,9;2,4;10,0;34527;2393;-32,7;-37,3;19,2;18,5;221589;292002
2015 2nd quarter;99,4;97,8;2,5;8,1;40722;3026;17,9;26,5;19,5;21,0;227389;283226
2015 3rd quarter;100,7;101,6;2,9;9,9;50609;3565;24,3;17,8;29,2;21,0;233301;312852
2015 4th quarter;101,3;103,7;3,5;11,0;52435;3510;3,6;-1,5;2,2;-8,1;235039;320831
2016 1st quarter;102,6;107,3;4,1;10,7;42897;2858;-18,2;-18,6;24,2;19,4;236333;336881
2016 2nd quarter;103,7;112,2;4,4;14,7;50315;3069;17,3;7,4;23,6;1,4;239542;342730
2016 3rd quarter;106,3;116,1;5,6;14,2;60707;3418;20,7;11,4;20,0;-4,1;249593;376166
2016 4th quarter;107,5;118,6;6,1;14,4;60874;3070;0,3;-10,2;16,1;-12,5;246934;376646
2017 1st quarter;109,6;124,0;6,8;15,6;55911;2740;-8,2;-10,7;30,3;-4,1;257002;394931
2017 2nd quarter;111,7;127,2;7,7;13,4;58370;2703;4,4;-1,4;16,0;-11,9;260573;402067
2017 3rd quarter;114,4;132,2;7,6;13,8;61391;3002;5,2;11,1;1,1;-12,2;267464;417652
2017 4th quarter;116,3;134,5;8,2;13,4;66188;2841;7,8;-5,4;8,7;-7,5;267143;414739
2018 1st quarter;119,4;138,8;9,0;11,9;52105;2527;-21,3;-11,1;-6,8;-7,8;278159;444671
2018 2nd quarter;121,6;144,2;8,8;13,4;52930;2329;1,6;-7,8;-9,3;-13,8;284639;458941
2018 3rd quarter;124,9;149,5;9,2;13,1;56921;2573;7,5;10,5;-7,3;-14,3;292146;473523
2018 4th quarter;126,7;151,2;9,0;12,5;56535;2325;-0,7;-9,6;-14,6;-18,2;293210;465712
2019 1st quarter;128,9;151,5;7,9;9,2;47431;2243;-16,1;-3,5;-9,0;-11,2;301279;472375
2019 2nd quarter;130,4;154,2;7,2;6,9;52506;2370;10,7;5,7;-0,8;1,8;302538;472666
2019 3rd quarter;132,7;155,2;6,3;3,8;58935;2680;12,2;13,1;3,5;4,2;313256;507475
2019 4th quarter;134,6;156,3;6,2;3,4;59723;2654;1,3;-1,0;5,6;14,2;312871;483972
2020 1st quarter;137,5;158,5;6,6;4,6;51579;2305;-13,6;-13,2;8,7;2,8;325834;515289
2020 2nd quarter;140,2;162,4;7,5;5,3;54923;2194;6,5;-4,8;4,6;-7,4;327867;495498
2020 3rd quarter;143,5;163,7;8,1;5,5;62206;2865;13,3;30,6;5,6;6,9;339559;516930
2020 4th quarter;146,4;161,8;8,8;3,5;66803;3098;7,4;8,1;11,9;16,7;341892;513031
2021 1st quarter;151,7;168,1;10,3;6,0;66627;4029;-0,3;30,1;29,2;74,8;379172;546838
2021 2nd quarter;158,4;174,5;13,0;7,5;52787;2215;-20,8;-45,0;-3,9;1,0;365702;541324
